accomodation_type,address,beds,beds_all,latitude,longitude,num_of_guests,rating_value,review_count,title,url
3 Apartments,"Mall Road Ideal hills hotel murree mall road club estate, 47150 Murree, Pakistan","1 Single Bed, 4 Double Bed",5,33.91048400,73.39592800,9,9.3,3 reviews,Ideal Hills Hotel,https://www.booking.com/hotel/pk/ideal-hills.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
10 Apartments,"Mount View Road Murree Pakistan, 47150 Murree, Pakistan","11 Single Bed, 2 Double Bed, 5 Extra Large Double Bed",18,33.90695800,73.39430200,29,8.6,86 reviews,Cecil Murree,https://www.booking.com/hotel/pk/one-cecil-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5 Apartments,"Kuldana Road, 47150 Murree, Pakistan","1 Large Double Bed, 7 Extra Large Double Bed, 5 Sofa Bed",13,33.91370400,73.39796800,15,7.4,10 reviews,Hotel Faran Murree,https://www.booking.com/hotel/pk/faran-murree-murree1.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"454, Street 1, Lower Jhika Gali, Murree Improvement Trust, MIT, Murree, 47180 Murree, Pakistan",3 Large Double Bed,3,33.90531706,73.40357027,6,8.4,73 reviews,"VivaPines, Murree",https://www.booking.com/hotel/pk/vivapines.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"Upper Jhika Gali Road, 47150 Murree, Pakistan",2 Double Bed,2,33.91202600,73.40518900,6,8.6,120 reviews,"Roomy Junction, Murree",https://www.booking.com/hotel/pk/roomy-junction.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"Jhika Gali Road Murree, 47000 Murree, Pakistan","2 Single Bed, 2 Extra Large Double Bed",4,33.91666700,73.41666700,6,8.4,130 reviews,"The Roomy Lodge, Murree",https://www.booking.com/hotel/pk/the-roomy-lodge.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Apartments,"Cuart Road, 47150 Murree, Pakistan","4 Single Bed, 5 Large Double Bed, 1 Extra Large Double Bed",10,33.90555460,73.38778413,14,8.2,341 reviews,Grand Taj Hotel,https://www.booking.com/hotel/pk/grand-taj.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5 Apartments,"B-1, Kashmir Point, Sangjani Lodges, near Gov House Rd, near Governor House Road, Murree, Rawalpindi, Punjab 47150, 47150 Murree, Pakistan","10 Single Bed, 6 Double Bed, 7 Sofa Bed, 4 Bunk Bed",23,33.91560321,73.40731335,34,8.3,21 reviews,White House Cottages,https://www.booking.com/hotel/pk/white-house-cottages-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3 Apartments,"Jungle Home Murree Near Bukhari CNG Station, Cuart Road,, 47150 Murree, Pakistan","1 Single Bed, 3 Double Bed",4,33.90919200,73.38937200,11,7.1,39 reviews,Mount Heaven Hotel Murree,https://www.booking.com/hotel/pk/jungle-home-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Apartments,"TV Station Road pindi point, murree, 47150 Murree, Pakistan","2 Single Bed, 6 Extra Large Double Bed",8,33.89441310,73.38101528,21,8.5,109 reviews,Reina Boutique Hotel - Murree,https://www.booking.com/hotel/pk/reina-boutique-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
6 Apartments,"184 main Surasi road patriata murree, 47221 Murree, Pakistan","4 Single Bed, 8 Large Double Bed, 9 Futon Bed",21,33.87409100,73.45706000,29,8.5,11 reviews,SKYmount,https://www.booking.com/hotel/pk/skymount.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
10 Apartments,"Main Expressway, Lower Topa, Murree, 47150, 47150 Murree, Pakistan",10 Extra Large Double Bed,10,33.88807451,73.43146743,44,8.5,71 reviews,Ramada by Wyndham Murree Lower Topa Resort,https://www.booking.com/hotel/pk/ramada-by-wyndham-murree-lower-topa-resort.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
8 Apartments,"Near GPO Chowk Mall Road Murree, 47150 Murree, Pakistan","4 Single Bed, 4 Double Bed, 5 Large Double Bed, 1 Sofa Bed",14,33.90704900,73.39451500,28,7.3,207 reviews,Move-N-Pick Murree,https://www.booking.com/hotel/pk/move-n-pick-murree-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
4 Apartments,"KALI MATTI TEH MURREE, 47124 Murree, Pakistan","4 Extra Large Double Bed, 1 Sofa Bed",5,33.95315411,73.39374872,8,6.8,25 reviews,Shagufta Royal Hotel Murree,https://www.booking.com/hotel/pk/shagufta-murree1.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"Lower Lakot Link Road Near Agosh College, 46000 Murree, Pakistan","5 Extra Large Double Bed, 9 Sofa Bed",14,33.88463400,73.40040600,27,9.5,2 reviews,Resort One Murree,https://www.booking.com/hotel/pk/resort-one-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
3 Apartments,"Kuldana Road usmania masjid ayubia road near usmania house ratti gali murree punjab pakistan Kuldana chowk ayubia road near usmania masjid ratti gali murree Punjab pakistan, 47130 Murree, Pakistan","6 Single Bed, 5 Large Double Bed, 5 Futon Bed, 7 Sofa Bed",23,33.92082800,73.39949400,25,7.4,19 reviews,New Al Samad apartments and luxury resort,https://www.booking.com/hotel/pk/new-al-samad-apartments-and-luxury-resort.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Apartments,"P-10-A FLT-1 Anwar palaza G-8 markaz, G-8 Sector, 47150 Murree, Pakistan","1 Single Bed, 1 Large Double Bed, 3 Extra Large Double Bed, 2 Futon Bed",7,33.69567342,73.04968853,10,6.4,20 reviews,Pak House G8 Markaz,https://www.booking.com/hotel/pk/al-subtaini.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
9 Apartments,"Kashmir Point, 47150 Murree, Pakistan","6 Single Bed, 10 Extra Large Double Bed, 7 Sofa Bed, 1 Bunk Bed",23,33.90732727,73.39700285,28,6.6,12 reviews,Metropole Hotel,https://www.booking.com/hotel/pk/metropole-murree1.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Apartments,"Aye Noor Cottages, Murree, Punjab, Pakistan First Floor, 47140 Murree, Pakistan","4 Single Bed, 1 Large Double Bed, 5 Extra Large Double Bed, 6 Futon Bed, 1 Sofa Bed, 1 Bunk Bed",17,33.91216600,73.39556600,22,8.8,13 reviews,Ortus - Murree Hills,https://www.booking.com/hotel/pk/ortus-murree-apartments.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9 Apartments,"Main Expressway, Link road, opposite to Musyari,, 47150 Murree, Pakistan","3 Single Bed, 11 Double Bed, 10 Sofa Bed, 2 Bunk Bed",24,33.88890365,73.40644436,30,7.5,6 reviews,GOHO ROOMS Murree,https://www.booking.com/hotel/pk/murree-spring-apartments-murree1.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"PC bhurban Road, 40000 Murree, Pakistan",3 Double Bed,3,33.94916538,73.45270901,5,7.4,18 reviews,Bhurban Inn,https://www.booking.com/hotel/pk/bhurban-inn-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
9 Apartments,"Bhurban, Murree, Pakistan, 47150 Murree, Pakistan","3 Single Bed, 4 Double Bed, 1 Large Double Bed, 7 Extra Large Double Bed, 4 Sofa Bed",19,33.95763034,73.46077238,38,7.5,209 reviews,Holiday Grand Resort Bhurban,https://www.booking.com/hotel/pk/holiday-grand-resort-bhurban-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
1 Apartments,"Khaqan Abassi Road Kahya Bhurban, 46000 Murree, Pakistan","3 Double Bed, 2 Sofa Bed",5,33.94872000,73.45252300,8,7.8,103 reviews,New Nabeel Residency Khaqan Abbasi road Bhurban Murree,https://www.booking.com/hotel/pk/new-nabeel-residency-khaqan-abbasi-road-bhurban-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
3 Apartments,"Kashmir Point Murree, 56000 Murree, Pakistan","4 Single Bed, 1 Double Bed, 1 Extra Large Double Bed",6,33.90700115,73.39653212,8,8.2,32 reviews,Grand Heights,https://www.booking.com/hotel/pk/grand-hights.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
